County,Region,FIPS
Bay,1,5
Calhoun,1,13
Escambia,1,33
Franklin,1,37
Gadsden,1,39
Gulf,1,45
Holmes,1,59
Jackson,1,63
Leon,1,73
Liberty,1,77
Okaloosa,1,91
Santa Rosa,1,113
Wakulla,1,129
Walton,1,131
Washington,1,133
Alachua,2,1
Baker,2,3
Bradford,2,7
Clay,2,19
Columbia,2,23
Dixie,2,29
Duval,2,31
Flagler,2,35
Gilchrist,2,41
Hamilton,2,47
Jefferson,2,65
Lafayette,2,67
Levy,2,75
Madison,2,79
Nassau,2,89
Putnam,2,107
St. Johns,2,109
Suwannee,2,121
Taylor,2,123
Union,2,125
Brevard,4,9
Lake,4,69
Marion,4,83
Orange,4,95
Osceola,4,97
Seminole,4,117
Volusia,4,127
Citrus,3,17
Hernando,3,53
Hillsborough,3,57
Pasco,3,101
Pinellas,3,103
Polk,3,105
Sumter,3,119
Charlotte,5,15
Collier,5,21
DeSoto,5,27
Hardee,5,49
Highlands,5,55
Lee,5,71
Manatee,5,81
Sarasota,5,115
Glades,6,43
Hendry,6,51
Indian River,6,61
Martin,6,85
Okeechobee,6,93
Palm Beach,6,99
St. Lucie,6,111
Broward,7,11
Miami-Dade,7,86
Monroe,7,87
